ark,title_clean,date_clean,author_name_clean,author_type_clean,author_birth_clean,author_death_clean,publisher_name_clean,publisher_place_clean,type_clean,format,description,type,source,language,title,author,date,publisher,ocr_quality,topics,metatopics,occurences,occurences_ratio,publisher_place_country
bpt6k202369b,La France coloniale illustrée,1888.0,"Gochet, Alexis-Marie",person,1835.0,1910.0,A. Mame et fils,Tours,monographie,1 vol. (387 p.-[1] f. de front.) : ill. ; 26 cm,Appartient à l’ensemble documentaire : MAEDI013	Appartient à l’ensemble documentaire : MAEDIGen0,printed monograph,Bibliothèque nationale de France,fre,"La France coloniale illustrée : Algérie, Tunisie, Congo, Madagascar, Tonkin et autres colonies françaises : considérées au point de vue historique... (3e éd. ornée de nombreuses grav. et de cartes) / par A.-M. G.,...","Gochet, Alexis-Marie (1835-1910). Auteur du texte",1888,A. Mame et fils (Tours),96.0,"[32, 17, 0]","['Médecine/Médicaments', 'Faune et Flore', 'Géographie']",3,0.002917379803952,France Métropolitaine
bpt6k107992r,"Dictionnaire international des écrivains du jour. T.1, A-Com",1888.0,"De Gubernatis, Angelo",person,1840.0,1913.0,L. Niccolai,Florence,monographie,3 vol. (2089 p.) ; 27 cm,Dictionnaires,printed monograph,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, Z Renan 543(1)",fre,"Dictionnaire international des écrivains du jour. T.1, A-Com / A. De Gubernatis","De Gubernatis, Angelo (1840-1913). Auteur du texte",1888-1891,L. Niccolai (Florence),92.0,"[16, 19, 53, 2, 16]","['Institutions / Transport', 'Médecine/Médicaments', 'Géographie', 'Eucalyptus / Propriétés Botaniques', 'Institutions / Transport']",5,0.0008125866420507,Europe
bpt6k9634187m,Jean Casteyras,1888.0,"Badin, Adolphe",person,1831.0,,J. Hetzel,Paris,monographie,298 p.-36 p. ; in-18,Appartient à l’ensemble documentaire : UnivJeun0	Contient une table des matières	Avec mode texte,printed monograph,"Médiathèque de Sèvres, 2015-302091",fre,Jean Casteyras : aventures de trois enfants en Algérie / Ad. Badin,"Badin, Adolphe (1831-189.?). Auteur du texte",1888,J. Hetzel (Paris),99.0,"[133, 56]","['Description', 'Institutions / Transport']",2,0.0025692740516167,Paris / Île de France
bpt6k95546q,Traité d'économie politique rurale,1888.0,"Roscher, Wilhelm",person,1817.0,1894.0,Guillaumin,Paris,monographie,1 vol. (XXXIV-848 p.) ; 22 cm,Titre original : Nationalökonomie des Ackerbaues	Collection : Économistes et publicistes contemporains	Contient une table des matières,printed monograph,"Bibliothèque nationale de France, département Sciences et techniques, 8-S-5836",fre,"Traité d'économie politique rurale : agriculture, économie forestière... / par Guillaume Roscher,... ; trad. sur la dernière éd. par Charles Vogel,... ; avec une préf. de M. Louis Passy,..","Roscher, Wilhelm (1817-1894). Auteur du texte",1888,Guillaumin (Paris),92.0,[3],['Malaria / Assainissement'],1,0.0002917944483188,Paris / Île de France
bpt6k445336c,Matériaux pour l'histoire primitive et naturelle de l'homme,1888.0,Muséum de Toulouse,entity,,,Musée d'histoire naturelle,Toulouse,presse généraliste,Nombre total de vues : 8801,"1888	1888 (SER3,T5).		Appartient à l’ensemble documentaire : MidiPyren1	Appartient à l’ensemble documentaire : RsAlis000	Appartient à l’ensemble documentaire : RsAlis013	Appartient à l’ensemble documentaire : RsAlis032",printed serial,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, G-26419-26421",fre,Matériaux pour l'histoire primitive et naturelle de l'homme : revue mensuelle illustrée... / dirigée par M. Émile Cartailhac avec le concours de MM. P. Cazalis de Fondouce et Chantre,Muséum de Toulouse. Auteur du texte,1888,Musée d'histoire naturelle (Toulouse),79.0,"[68, 3, 94, 0]","['Faune et Flore', 'Malaria / Assainissement', 'Erreurs', 'Géographie']",4,0.0020679850071086,Sud de la France
bpt6k77136c,Formulaire annuel des nouveaux remèdes,1888.0,"Bardet, Godefroy",person,1852.0,1923.0,O. Doin,Paris,monographie,1 vol. (III-358 p.) : ill. ; in-8,Appartient à l’ensemble documentaire : BibHEy,printed monograph,"Bibliothèque H. Ey. C.H. de Sainte-Anne, 82-2",fre,"Formulaire annuel des nouveaux remèdes / par Dr. G. Bardet,... et E. Egasse,...","Bardet, Godefroy (1852-1923). Auteur du texte",1888,O. Doin (Paris),86.0,"[60, 90, 123, 32, 52, 18, 18, 5, 5, 2]","['Autres', 'Autres', 'Erreurs', 'Médecine/Médicaments', 'Médecine/Médicaments', 'Maladies', 'Maladies', 'Erreurs', 'Erreurs', 'Eucalyptus / Propriétés Botaniques']",11,0.01367869977741,Paris / Île de France
bpt6k6154156s,Dictionnaire international des écrivains du jour. Section 3,1888.0,"De Gubernatis, Angelo",person,1840.0,1913.0,L. Niccolai,Florence,monographie,3 vol. (2089 p.) ; 27 cm,Dictionnaires,printed monograph,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 4-G-437 (1)",fre,Dictionnaire international des écrivains du jour. Section 3 / A. De Gubernatis,"De Gubernatis, Angelo (1840-1913). Auteur du texte",1888-1891,L. Niccolai (Florence),93.0,[93],['Eucalyptus / Propriétés Botaniques'],1,0.0001995553905897,Europe
bpt6k4089698,Aux Etats-Unis,1888.0,"Frédéric Moreau, Félix (Maurice Félix Frédéric)",person,,,"E. Plon, Nourrit et Cie",Paris,monographie,1 vol. (263 p.) ; 19 cm,Appartient à l’ensemble documentaire : FranceAm	Récits de voyages,printed monograph,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-PB-3058",fre,Aux Etats-Unis : notes de voyage / par F. Frédéric Moreau,"Frédéric Moreau, Félix (Maurice Félix Frédéric). Auteur du texte",1888,"E. Plon, Nourrit et Cie (Paris)",100.0,"[133, 14]","['Description', 'Eucalyptus / Propriétés Botaniques']",2,0.0045140613009524,Paris / Île de France
bpt6k4414623,De l'acclimatation des Européens dans les pays chauds,1888.0,"Treille, Georges Félix",person,,,O. Doin,Paris,monographie,1 vol. (VIII-137 p.) ; in-18,Avec mode texte,printed monograph,"Bibliothèque nationale de France, département Sciences et techniques, 8-TC7-54",fre,"De l'acclimatation des Européens dans les pays chauds / par le Dr G. Treille,...","Treille, Georges Félix. Auteur du texte",1888,O. Doin (Paris),95.0,[60],['Autres'],1,0.003988035892323,Paris / Île de France
bpt6k6322799n,Bulletin des séances de la Société royale et centrale d'agriculture,1888.0,Société royale et centrale d'agriculture (France),entity,,,L. Bouchard-Huzard,Paris,presse spécialisée,Nombre total de vues : 59693,1888	1888 (T48).	,printed serial,"Académie d'Agriculture de France, 2011-332115",fre,Bulletin des séances de la Société royale et centrale d'agriculture : compte rendu mensuel,Société royale et centrale d'agriculture (France). Auteur du texte,1888,L. Bouchard-Huzard (Paris),100.0,"[17, 85, 93, 93, 1, 40, 2, 16, 93, 93, 5, 93, 5]","['Faune et Flore', 'Propriétés Chimiques', 'Eucalyptus / Propriétés Botaniques', 'Eucalyptus / Propriétés Botaniques', 'Géographie', 'Géographie', 'Eucalyptus / Propriétés Botaniques', 'Institutions / Transport', 'Eucalyptus / Propriétés Botaniques', 'Eucalyptus / Propriétés Botaniques', 'Erreurs', 'Eucalyptus / Propriétés Botaniques', 'Erreurs']",13,0.0072614339656366,Paris / Île de France
